config,representation,rescued,regressed,net_gain,rescue_images,rescue_groups,rescue_classes,rescue_failure_types,rescues_by_group,rescues_by_class,rescues_by_failure,regressions_by_group,largest_group_rescues,net_gain_without_largest_rescue_group
u3e4_g060,float,6,0,6,3,3,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""C1297627"": 4}","{""huashang"": 4, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 3, ""localization_near_miss"": 1}",{},4,2
u3e4_g060,roundtrip,6,0,6,3,3,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""C1297627"": 4}","{""huashang"": 4, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 3, ""localization_near_miss"": 1}",{},4,2
u3e4_g080,float,7,1,6,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}","{""C1269807"": 1}",4,2
u3e4_g080,roundtrip,7,1,6,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}","{""C1269807"": 1}",4,2
u1e3_g060,float,7,0,7,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}",{},4,3
u1e3_g060,roundtrip,7,0,7,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}",{},4,3
u1e3_g080,float,7,1,6,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}","{""C1269807"": 1}",4,2
u1e3_g080,roundtrip,7,1,6,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}","{""C1269807"": 1}",4,2
uinf_g060,float,7,0,7,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}",{},4,3
uinf_g060,roundtrip,7,0,7,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}",{},4,3
uinf_g080,float,7,1,6,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}","{""C1269807"": 1}",4,2
uinf_g080,roundtrip,7,1,6,4,4,3,3,"{""0001417541"": 1, ""0001441830"": 1, ""0001472229"": 1, ""C1297627"": 4}","{""huashang"": 5, ""mamianmakeng"": 1, ""qilie"": 1}","{""fusion_oracle_rescuable"": 2, ""localization_failure"": 4, ""localization_near_miss"": 1}","{""C1269807"": 1}",4,2
