image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001400264-Raw03-f_00009.jpg,1589,1468,1101,1101
0001404397-Raw00-f_00011.jpg,2540,2008,831,831
0001404397-Raw01-f_00003.jpg,1783,1711,920,920
0001404397-Raw01-f_00006.jpg,2579,2389,1137,1137
0001416364-Raw00-f_00008.jpg,5410,4888,2853,2853
0001416364-Raw00-f_00009.jpg,6587,5855,2846,2846
0001416364-Raw01-f_00002.jpg,4066,3855,2228,2228
0001416364-Raw01-f_00003.jpg,3137,2995,1846,1846
0001416364-Raw01-f_00005.jpg,3928,3651,2135,2135
0001416364-Raw02-f_00009.jpg,4237,3909,2433,2433
0001416970-Raw01-f_00005.jpg,2074,1983,1085,1085
0001416970-Raw02-f_00003.jpg,2794,2650,1393,1393
0001416970-Raw02-f_00005.jpg,2555,2422,1485,1485
0001416970-Raw12-f_00004.jpg,1765,1686,1076,1076
0001416970-Raw13-f_00008.jpg,2812,2582,1542,1542
0001417541-Raw00-f_00005.jpg,2168,2113,1189,1189
0001417541-Raw02-f_00006.jpg,2557,2438,1354,1354
0001417541-Raw02-f_00007.jpg,3530,3284,1549,1549
0001417541-Raw02-f_00011.jpg,2425,2325,1185,1185
0001417541-Raw03-f_00006.jpg,1661,1569,1197,1197
0001417541-Raw03-f_00007.jpg,1477,1388,1085,1085
0001417971-Raw02-f_00002.jpg,3767,3471,1890,1890
0001417971-Raw02-f_00011.jpg,3741,3367,1613,1613
0001417971-Raw12-f_00007.jpg,725,680,510,510
0001420781-Raw00-f_00004.jpg,7596,7070,3917,3917
0001420781-Raw01-f_00002.jpg,5274,4878,2433,2433
0001420781-Raw01-f_00009.jpg,5888,5405,2873,2873
0001420781-Raw01-f_00010.jpg,5977,5632,3186,3186
0001420781-Raw02-f_00007.jpg,5826,5344,2427,2427
0001420781-Raw02-f_00009.jpg,5598,5229,2645,2645
0001422620-Raw00-f_00002.jpg,4110,3658,1934,1934
0001422620-Raw00-f_00004.jpg,3449,3120,1701,1701
0001422620-Raw00-f_00005.jpg,3693,3297,1847,1847
0001422620-Raw01-f_00001.jpg,4588,4151,1884,1884
0001422620-Raw01-f_00003.jpg,4785,4272,2220,2220
0001422620-Raw01-f_00004.jpg,4898,4474,2240,2240
0001422620-Raw01-f_00006.jpg,4882,4376,2137,2137
0001422620-Raw01-f_00007.jpg,2090,1888,1458,1458
0001422620-Raw02-f_00004.jpg,3767,3432,2047,2047
0001429378-Raw01-f_00002.jpg,3541,3342,1575,1575
0001430517-Raw02-f_00004.jpg,4393,4141,1825,1825
0001430517-Raw02-f_00009.jpg,3277,3172,1238,1238
0001432633-Raw00-f_00002.jpg,1768,1664,956,956
0001432633-Raw01-f_00001.jpg,2175,2006,843,843
0001432633-Raw01-f_00008.jpg,2385,2265,1086,1086
0001432633-Raw02-f_00000.jpg,1797,1704,1024,1024
0001432633-Raw02-f_00002.jpg,3235,2812,1571,1571
0001432633-Raw02-f_00003.jpg,3134,2888,1318,1318
0001433039-Raw00-f_00006.jpg,4907,4194,2193,2193
0001441823-Raw00-f_00001.jpg,2829,2536,1210,1210
0001441823-Raw00-f_00002.jpg,2882,2584,1464,1464
0001441823-Raw00-f_00004.jpg,2286,2079,921,921
0001441823-Raw01-f_00002.jpg,2359,2030,893,893
0001441823-Raw02-f_00001.jpg,3755,3297,1406,1406
0001441823-Raw02-f_00003.jpg,5255,4533,1411,1411
0001441823-Raw02-f_00007.jpg,5936,4918,1708,1708
0001441823-Raw02-f_00010.jpg,5101,4273,1470,1470
0001441823-Raw12-f_00000.jpg,2898,2690,2066,2066
