image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001400264-Raw03-f_00009.jpg,1589,1589,1352,1352
0001404397-Raw00-f_00011.jpg,2540,2540,1680,1680
0001404397-Raw01-f_00003.jpg,1783,1783,1536,1536
0001404397-Raw01-f_00006.jpg,2579,2579,1963,1963
0001416364-Raw00-f_00008.jpg,5410,5410,4391,4391
0001416364-Raw00-f_00009.jpg,6587,6587,4957,4957
0001416364-Raw01-f_00002.jpg,4066,4066,3414,3414
0001416364-Raw01-f_00003.jpg,3137,3137,2764,2764
0001416364-Raw01-f_00005.jpg,3928,3928,3324,3324
0001416364-Raw02-f_00009.jpg,4237,4237,3583,3583
0001416970-Raw01-f_00005.jpg,2074,2074,1752,1752
0001416970-Raw02-f_00003.jpg,2794,2794,2353,2353
0001416970-Raw02-f_00005.jpg,2555,2555,2199,2199
0001416970-Raw12-f_00004.jpg,1765,1765,1539,1539
0001416970-Raw13-f_00008.jpg,2812,2812,2323,2323
0001417541-Raw00-f_00005.jpg,2168,2168,1794,1794
0001417541-Raw02-f_00006.jpg,2557,2557,2181,2181
0001417541-Raw02-f_00007.jpg,3530,3530,2744,2744
0001417541-Raw02-f_00011.jpg,2425,2425,2062,2062
0001417541-Raw03-f_00006.jpg,1661,1661,1530,1530
0001417541-Raw03-f_00007.jpg,1477,1477,1316,1316
0001417971-Raw02-f_00002.jpg,3767,3767,3238,3238
0001417971-Raw02-f_00011.jpg,3741,3741,2964,2964
0001417971-Raw12-f_00007.jpg,725,725,642,642
0001420781-Raw00-f_00004.jpg,7596,7596,6373,6373
0001420781-Raw01-f_00002.jpg,5274,5274,4416,4416
0001420781-Raw01-f_00009.jpg,5888,5888,4645,4645
0001420781-Raw01-f_00010.jpg,5977,5977,5130,5130
0001420781-Raw02-f_00007.jpg,5826,5826,4771,4771
0001420781-Raw02-f_00009.jpg,5598,5598,4583,4583
0001422620-Raw00-f_00002.jpg,4110,4110,3150,3150
0001422620-Raw00-f_00004.jpg,3449,3449,2767,2767
0001422620-Raw00-f_00005.jpg,3693,3693,2873,2873
0001422620-Raw01-f_00001.jpg,4588,4588,3425,3425
0001422620-Raw01-f_00003.jpg,4785,4785,3676,3676
0001422620-Raw01-f_00004.jpg,4898,4898,3816,3816
0001422620-Raw01-f_00006.jpg,4882,4882,3834,3834
0001422620-Raw01-f_00007.jpg,2090,2090,1847,1847
0001422620-Raw02-f_00004.jpg,3767,3767,3103,3103
0001429378-Raw01-f_00002.jpg,3541,3541,2843,2843
0001430517-Raw02-f_00004.jpg,4393,4393,3487,3487
0001430517-Raw02-f_00009.jpg,3277,3277,2496,2496
0001432633-Raw00-f_00002.jpg,1768,1768,1479,1479
0001432633-Raw01-f_00001.jpg,2175,2175,1701,1701
0001432633-Raw01-f_00008.jpg,2385,2385,1908,1908
0001432633-Raw02-f_00000.jpg,1797,1797,1576,1576
0001432633-Raw02-f_00002.jpg,3235,3235,2376,2376
0001432633-Raw02-f_00003.jpg,3134,3134,2478,2478
0001433039-Raw00-f_00006.jpg,4907,4907,3906,3906
0001441823-Raw00-f_00001.jpg,2829,2829,2268,2268
0001441823-Raw00-f_00002.jpg,2882,2882,2353,2353
