group_id,rules,split,image_count,empty_count,total_box_count,jieba_image_count,jieba_box_count,zonglie_image_count,zonglie_box_count,qilie_image_count,qilie_box_count,jiaza_image_count,jiaza_box_count,yiwuyaru_image_count,yiwuyaru_box_count,huashang_image_count,huashang_box_count,mamianmakeng_image_count,mamianmakeng_box_count,yanghuatiepi_image_count,yanghuatiepi_box_count,gunyin_image_count,gunyin_box_count
0001388270,numeric_raw_prefix,train,1,0,3,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0001388400,numeric_raw_prefix,train,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001388609,numeric_raw_prefix,train,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0001389370,numeric_raw_prefix,train,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001389511,numeric_raw_prefix,train,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0
0001389516,numeric_raw_prefix,train,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001390648,numeric_raw_prefix,train,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
0001392084,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001395654,numeric_raw_prefix,train,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001396042,numeric_raw_prefix,train,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001396074,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001396149,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001396586,numeric_raw_prefix,train,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
0001396593,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001396594,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001396714,numeric_raw_prefix,train,3,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0
0001396893,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001396894,numeric_raw_prefix,train,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0001397187,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001397412,numeric_raw_prefix,train,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001397421,numeric_raw_prefix,train,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0001397868,numeric_raw_prefix,train,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001398309,numeric_raw_prefix,train,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001398404,numeric_raw_prefix,train,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0001399164,numeric_raw_prefix,train,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0
0001399491,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001399652,numeric_raw_prefix,train,2,0,5,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001399899,numeric_raw_prefix,train,2,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001400153,numeric_raw_prefix,train,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
0001400157,numeric_raw_prefix,train,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,0,0
0001400160,numeric_raw_prefix,train,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0
0001400164,numeric_raw_prefix,train,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0
0001400165,numeric_raw_prefix,train,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
0001400166,numeric_raw_prefix,train,3,0,7,0,0,0,0,0,0,0,0,1,1,0,0,3,5,0,0,1,1
0001400264,numeric_raw_prefix,val,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001401010,numeric_raw_prefix,train,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001401415,numeric_raw_prefix,train,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0001401945,numeric_raw_prefix,train,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001402648,numeric_raw_prefix,train,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
0001403861,numeric_raw_prefix,train,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001404083,numeric_raw_prefix,train,2,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0
0001404107,numeric_raw_prefix,train,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001404284,numeric_raw_prefix,train,2,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001404397,numeric_raw_prefix,val,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
0001404398,numeric_raw_prefix,train,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0
0001404449,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001405563,numeric_raw_prefix,train,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001405587,numeric_raw_prefix,train,3,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001405806,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001406455,numeric_raw_prefix,train,13,12,6,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
0001406531,numeric_raw_prefix,train,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001408096,numeric_raw_prefix,train,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001408268,numeric_raw_prefix,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001408907,numeric_raw_prefix,train,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
0001408913,numeric_raw_prefix,train,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
0001408914,numeric_raw_prefix,train,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0001408915,numeric_raw_prefix,train,5,1,17,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0
0001408916,numeric_raw_prefix,train,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
0001408917,numeric_raw_prefix,train,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
