split,class_name,image_count,box_count,group_count,empty_image_count,image_ratio,class_image_ratio,class_box_ratio
train,__all__,2726,5044,1683,910,0.851875,,
train,__empty__,910,0,1683,910,0.8472998137802608,,
train,jieba,512,1013,1683,910,0.851875,0.847682119205298,0.8512605042016806
train,zonglie,251,408,1683,910,0.851875,0.847972972972973,0.8625792811839323
train,qilie,24,62,1683,910,0.851875,0.8571428571428571,0.8985507246376812
train,jiaza,96,183,1683,910,0.851875,0.8495575221238938,0.8318181818181818
train,yiwuyaru,395,511,1683,910,0.851875,0.8512931034482759,0.8474295190713101
train,huashang,51,129,1683,910,0.851875,0.85,0.8431372549019608
train,mamianmakeng,262,2103,1683,910,0.851875,0.8478964401294499,0.8633004926108374
train,yanghuatiepi,304,420,1683,910,0.851875,0.8491620111731844,0.8536585365853658
train,gunyin,200,215,1683,910,0.851875,0.847457627118644,0.849802371541502
val,__all__,474,845,170,164,0.148125,,
val,__empty__,164,0,170,164,0.1527001862197393,,
val,jieba,92,177,170,164,0.148125,0.152317880794702,0.14873949579831933
val,zonglie,45,65,170,164,0.148125,0.15202702702702703,0.13742071881606766
val,qilie,4,7,170,164,0.148125,0.14285714285714285,0.10144927536231885
val,jiaza,17,37,170,164,0.148125,0.1504424778761062,0.16818181818181818
val,yiwuyaru,69,92,170,164,0.148125,0.14870689655172414,0.15257048092868988
val,huashang,9,24,170,164,0.148125,0.15,0.1568627450980392
val,mamianmakeng,47,333,170,164,0.148125,0.15210355987055016,0.13669950738916256
val,yanghuatiepi,54,72,170,164,0.148125,0.15083798882681565,0.14634146341463414
val,gunyin,36,38,170,164,0.148125,0.15254237288135594,0.15019762845849802
